Machine Configuration Database,,,,,,,,,,,,,,
projectname2,,,,,,,,,,,,,,
,,,,,Nominal Location (meters in LCLS coordinates),,,Nominal Dimension (meters),,,Nominal Angle (radians),,,
TC_part_no,FC,Fungible,State,Comments,LCLS_Z_loc,LCLS_X_loc,LCLS_Y_loc,Z_dim,X_dim,Y_dim,LCLS_Z_roll,LCLS_X_pitch,LCLS_Y_yaw,Must_Ray_Trace
,ST1L1,PPS,Conceptual,BCS VAC SENSOR,754.3042572,-0.8717863,-0.895304,,,,,,0.028,
,ST1L0,PPS,Conceptual,BCS VAC SENSOR,755.260416,-1.2193986,-0.895304,,,,,,,
,PA1L0,RGA,Conceptual,RGA,737.8462065,-1.25,-0.895304,,,,,,,
,AT2L0,SOLID,Conceptual,PIRANI GAUGE,734.014701,-1.25,-0.895304,,,,,,,
,MR1L1,TXI,Conceptual,BCS VAC SENSOR,741.6,-1.2275985,-0.895304,,,,,,0.021,
,TP,TXI,Conceptual,INTERFACE (2.75 Flange),743.5341561,-1.173428,-0.895304,,,,,,0.028,
,PA1L0,VFS,Conceptual,FAST SHUTTER,738.7685871,-1.25,-0.895304,,,,,,,
,TV3L0,VFS,Conceptual,FAST SHUTTER,748.79948,-1.2193986,-0.895304,,,,,,,
,TV1L0,VGC,Conceptual,GATE VALVE,693.5787994,-1.25,-0.895304,,,,,,,
,TV2L0,VGC,Conceptual,GATE VALVE,722.1351282,-1.25,-0.895304,,,,,,,
,TV1L1,VGC,Conceptual,VAT VALVE - TXI,746.5181929,-1.0898531,-0.895304,,,,,,0.028,
,TV1L0,VRM,Conceptual,RIGHT ANGLE VALVE,694.4945007,-1.25,-0.895304,,,,,,,
,TV2L0,VRM,Conceptual,RIGHT ANGLE VALVE,711.1287232,-1.25,-0.895304,,,,,,,
,PA1L0,VRM,Conceptual,RIGHT ANGLE VALVE,738.903423,-1.25,-0.895304,,,,,,,
,TP,WALL1HE,Conceptual,EAST WALL,719.58,,-0.895304,,,,,,,
,TP,WALL1HW,Conceptual,WEST WALL,721.92,,-0.895304,,,,,,,
,TP,WALL2HE,Conceptual,FEE WALL 2 SHLDG FACE,756.36,-1.2193986,-0.895305,,,,,,,
,TP,WALL2HW,Conceptual,HUTCH 1 WALL 1,758.29,-1.2193986,-0.895305,,,,,,,
,PF1L0,WFS,Conceptual,WAVEFRONT SENSOR,735.6817413,-1.25,-0.895304,,,,,,,
,TP,XPP,Conceptual,INTERFACE (2.75 Flange),759.06193,-1.2193986,-0.895305,,,,,,,
,BS1L0,XTES,Conceptual,BREMSS COLL,735.3862312,-1.25,-0.895304,,,,,,,
,BT1L0,XTES,Conceptual,BTM,735.3335404,-1.25,-0.895304,,,,,,,
,PC1L0,XTES,Conceptual,GATE VALVE,734.9383619,-1.25,-0.895304,,,,,,,
,IM2L0,XTES,Conceptual,IMAGER,736.50848,-1.25,-0.895304,,,,,,,
,IM4L0,XTES,Conceptual,IMAGER,753.5587416,-1.2193986,-0.895304,,,,,,,
,PC2L0,XTES,Conceptual,PHOTON COLL,746.2721293,-1.2236569,-0.895304,,,,,,0.0042,
,PC3L0,XTES,Conceptual,PHOTON COLL,751.7268744,-1.2193986,-0.895304,,,,,,,
,PC4L0,XTES,Conceptual,PHOTON COLL,755.748031,-1.2193986,-0.895304,,,,,,,
,IM1L0,XTES,Conceptual,RIGHT ANGLE VALVE,699.1870988,-1.25,-0.895304,,,,,,,
,RTDSL0,YAGXRAY,Conceptual,PROFILE MON (RTDS),696.128001,-1.25,-0.895304,,,,,,,
