No.	Name	Description	ServiceNow Asset Link	QR code	Z (LCLS)	X (LCLS)	Y (LCLS)	Roll (LCLS Z)	Pitch (LCLS X)	Yaw (LCLS Y)	Area	BLDG	Responsible Scientist	Responsible Engineer	Area Manager	NCR	Ray Tracing	Metadata	Type
2	TP:HXTES0	INTERFACE FLANGE			693.6163000	-1.2500000	-0.8953040	0.0000000	0.0000000	0.0000000	EBD	930_100			Kathy Burrows			D	TP
6	RTDSL0	RAPID TRNAD DIAG STN			694.8930010	-1.2500000	-0.8953040	0.0000000	0.0000000	0.0000000	EBD	930_100	Stefan Moeller	Marc Campell	Kathy Burrows			D	RT
7	RTDSL0:YAGXRAY	PROFILE MON (RTDS)			696.1280010	-1.2500000	-0.8953040	0.0000000	0.0000000	0.0000000	EBD	930_100	Stefan Moeller		Kathy Burrows			D	RT
10	IM1L0:XTES	IMAGER			699.5576832	-1.2500000	-0.8953040	0.0000000	0.0000000	0.0000000	EBD	930_100	Philip Heimann	Marc Campell	Kathy Burrows			D	IM
11	PCPM2	ELECTRON COLL			699.9549662	-1.2500000	-0.8953040	0.0000000	0.0000000	0.0000000	EBD	930_100			Kathy Burrows			D	PC
12	BTM2	BTM			699.9962800	-1.2500000	-0.8953040	0.0000000	0.0000000	0.0000000	EBD	930_100			Kathy Burrows			D	BT
14	MBXPM1	MAGNET			701.0000000	-1.2150000	-0.8953040	0.0000000	0.0000000	0.0000000	EBD	930_100			Kathy Burrows			D	MB
15	MBXPM2	MAGNET			702.2440000	-1.2150000	-0.8953040	0.0000000	0.0000000	0.0000000	EBD	930_100			Kathy Burrows			D	MB
23	PCPM3	ELECTRON COLL			711.5400000	-1.2500000	-0.8953040	0.0000000	0.0000000	0.0000000	EBD	930_100			Kathy Burrows			D	PC
24	BTM3	BTM			711.5400000	-1.2500000	-0.8953040	0.0000000	0.0000000	0.0000000	EBD	930_100			Kathy Burrows			D	BT
