No.	Name	Description	ServiceNow Asset Link	QR code	Z (LCLS)	X (LCLS)	Y (LCLS)	Roll (LCLS Z)	Pitch (LCLS X)	Yaw (LCLS Y)	Area	BLDG	Responsible Scientist	Responsible Engineer	Area Manager	NCR	Ray Tracing	Metadata	Type
28	MSFTDMP	SAFETY DUMP			714.0000000	-1.3050000	-0.8953040	0.0000000	0.0000000	-0.0130740	EBD	930_100			Kathy Burrows			D	MS
29	MBTMSFT	BTM			714.0000000	-1.3050000	-0.8953040	0.0000000	0.0000000	-0.0130740	EBD	930_100			Kathy Burrows			D	MB
31	TP:WALL1HE	EAST WALL			719.5800000	0.0000000	-0.8953040	0.0000000	0.0000000	0.0000000	EBD	930_100			Kathy Burrows			D	TP
32	TP:WALL1HW	WEST WALL			721.9200000	0.0000000	-0.8953040	0.0000000	0.0000000	0.0000000	FEE	940_08			May Ling Ng			D	TP
37	SL1L0:POWER	ADJ APER			724.4318600	-1.2500000	-0.8953040	0.0000000	0.0000000	0.0000000	FEE	940_08	Bill Schlotter	Marc Campell	May Ling Ng			D	SL
39	EM1L0:GEM	GAS ENERGY MONITOR			726.1980000	-1.2500000	-0.8953040	0.0000000	0.0000000	0.0000000	FEE	940_08	Stefan Moeller	Marc Campell	May Ling Ng			D	EM
40	AT1L0:GAS	GAS ATTENUATOR			729.2959950	-1.2500000	-0.8953040	0.0000000	0.0000000	0.0000000	FEE	940_08	Stefan Moeller	Marc Campell	May Ling Ng			D	AT
41	EM2L0:GEM	GAS ENERGY MONITOR			732.3940000	-1.2500000	-0.8953040	0.0000000	0.0000000	0.0000000	FEE	940_08	Stefan Moeller	Marc Campell	May Ling Ng			D	EM
46	AT2L0:SOLID	SOLID ATTEN			734.5227010	-1.2500000	-0.8953040	0.0000000	0.0000000	0.0000000	FEE	940_08	Stefan Moeller	Marc Campell	May Ling Ng			D	AT
48	PC1L0:XTES	PHOTON COLL			735.2110982	-1.2500000	-0.8953040	0.0000000	0.0000000	0.0000000	FEE	940_08		Marc Campell	May Ling Ng			D	PC
49	BT1L0:XTES	BTM			735.3335404	-1.2500000	-0.8953040	0.0000000	0.0000000	0.0000000	FEE	940_08		Marc Campell	May Ling Ng			D	BT
50	BS1L0:XTES	BREMSS COLL			735.3862312	-1.2500000	-0.8953040	0.0000000	0.0000000	0.0000000	FEE	940_08		Marc Campell	May Ling Ng			D	BS
51	PF1L0:WFS	WAVEFRONT SENSOR			735.6817413	-1.2500000	-0.8953040	0.0000000	0.0000000	0.0000000	FEE	940_08	Matt Seaberg		May Ling Ng			D	PF
52	SL2L0:POWER	ADJ APER			736.0926300	-1.2500000	-0.8953040	0.0000000	0.0000000	0.0000000	FEE	940_08	Bill Schlotter		May Ling Ng			D	SL
53	IM2L0:XTES	IMAGER			736.5084800	-1.2500000	-0.8953040	0.0000000	0.0000000	0.0000000	FEE	940_08	Philip Heimann	Marc Campell	May Ling Ng			D	IM
54	SP1L0:KMONO	K MONO			737.3171796	-1.2500000	-0.8953040	0.0000000	0.0000000	0.0000000	FEE	940_08	Matt Seaberg	Marc Campell	May Ling Ng			D	SP
56	PA1L0	DIFF PUMP			738.3305845	-1.2500000	-0.8953040	0.0000000	0.0000000	0.0000000	FEE	940_08			May Ling Ng			D	PA
58	ND1H	NEUTRON DETECTOR			738.9003280	-1.2880812	-1.3474240	0.0000000	0.0000000	0.0000000	FEE	940_08			May Ling Ng			D	ND
64	MR1L0:HOMS	MIRROR- XTES			740.0000000	-1.2500000	-0.8953040	0.0000000	0.0000000	0.0021000	FEE	940_08	Matt Seaberg	Tony Cheng	May Ling Ng			D	MR
66	MR1L1:TXI	MIRROR			741.6000000	-1.2275985	-0.8953040	0.0000000	0.0000000	0.0210000	FEE	940_08	Matt Seaberg	Tony Cheng	May Ling Ng			D	MR
73	BT2L0:PLEG	BTM U/S FACE TXI			743.0522658	-1.1869245	-0.8953040	0.0000000	0.0000000	0.0280000	FEE	940_08			May Ling Ng			D	BT
74	BT2L0:PLEG2	BTM U/S FACE HXR			743.0522658	-1.2371804	-0.8953040	0.0000000	0.0000000	0.0042000	FEE	940_08			May Ling Ng			D	BT
80	IM1L1:PPM	IMAGER			745.4046250	-1.1210412	-0.8953040	0.0000000	0.0000000	0.0280000	FEE	940_08	Philip Heimann	Marc Campell	May Ling Ng			D	IM
81	PC1L1:L2SI	PHOTON COLL			745.6217099	-1.1149612	-0.8953040	0.0000000	0.0000000	0.0280000	FEE	940_08			May Ling Ng			D	PC
82	BT1L1:COMBO	BTM			745.6780758	-1.1133826	-0.8953040	0.0000000	0.0000000	0.0280000	FEE	940_08			May Ling Ng			D	BT
83	BS1L1:MINI	BREMSS COLL			745.7236800	-1.1121000	-0.8953040	0.0000000	0.0000000	0.0280000	FEE	940_08			May Ling Ng			D	BS
84	IM3L0:PPM	IMAGER			746.0000167	-1.2247997	-0.8953040	0.0000000	0.0000000	0.0042000	FEE	940_08	Philip Heimann		May Ling Ng			D	IM
85	PC2L0:XTES	PHOTON COLL			746.2721293	-1.2236569	-0.8953040	0.0000000	0.0000000	0.0042000	FEE	940_08		Armin Busse	May Ling Ng			D	PC
86	BT3L0:L2SI	BTM			746.3239654	-1.2234392	-0.8953040	0.0000000	0.0000000	0.0042000	FEE	940_08			May Ling Ng			D	BT
89	MR2L0:HOMS	MIRROR			747.2860000	-1.2193986	-0.8953040	0.0000000	0.0000000	0.0021000	FEE	940_08	Matthew Seaberg	Corey Hardin	May Ling Ng			D	MR
96	PC2L1:L2SI	PHOTON COLL			749.6168844	-1.0030670	-0.8953040	0.0000000	0.0000000	0.0280000	FEE	940_08			May Ling Ng			D	PC
97	BT2L1:L2SI	BTM			749.6732503	-1.0014884	-0.8953040	0.0000000	0.0000000	0.0280000	FEE	940_08			May Ling Ng			D	BT
98	PC3L0:XTES	PHOTON COLL			751.7268744	-1.2193986	-0.8953040	0.0000000	0.0000000	0.0000000	FEE	940_08			May Ling Ng			D	PC
99	BT4L0:COMBO	BTM			751.7787046	-1.2193986	-0.8953040	0.0000000	0.0000000	0.0000000	FEE	940_08			May Ling Ng			D	BT
100	TP:LUSI	LUSI WP			751.8430000	-1.2193986	-0.8953040	0.0000000	0.0000000	0.0000000	FEE	940_08			May Ling Ng			D	TP
101	BS3L0:LUSI	BREMSS COLL			751.9389278	-1.2193986	-0.8953040	0.0000000	0.0000000	0.0000000	FEE	940_08			May Ling Ng			D	BS
102	SL3L0:POWER(FUT)	POWER SLITS (F) XPP			753.1638601	-1.2193986	-0.8953040	0.0000000	0.0000000	0.0000000	FEE	940_08			May Ling Ng			D	SL
104	IM4L0:XTES	IMAGER			753.5587416	-1.2193986	-0.8953040	0.0000000	0.0000000	0.0000000	FEE	940_08	Philip Heimann	Marc Campell	May Ling Ng			D	IM
105	ST1L1:PPS	PPS STOPPER			754.3042572	-0.8717863	-0.8953040	0.0000000	0.0000000	0.0280000	FEE	940_08		Hengzi Wang	May Ling Ng			D	ST
107	ST1L0:PPS	PPS STOPPER			755.2604160	-1.2193986	-0.8953040	0.0000000	0.0000000	0.0000000	FEE	940_08		Hengzi Wang	May Ling Ng			D	ST
109	PC3L1:L2SI	PHOTON COLL			755.6994487	-0.8327107	-0.8953040	0.0000000	0.0000000	0.0280000	FEE	940_08			May Ling Ng			D	PC
110	PC4L0:XTES	PHOTON COLL			755.7480310	-1.2193986	-0.8953040	0.0000000	0.0000000	0.0000000	FEE	940_08		Armin Busse	May Ling Ng			D	PC
111	BT3L1:COMBO	BTM			755.7558146	-0.8311321	-0.8953040	0.0000000	0.0000000	0.0280000	FEE	940_08			May Ling Ng			D	BT
112	BT5L0:COMBO	BTM			755.7998612	-1.2193986	-0.8953040	0.0000000	0.0000000	0.0000000	FEE	940_08			May Ling Ng			D	BT
113	BS2L1:LUSI	BREMSS COLL			755.9159750	-0.8266464	-0.8953040	0.0000000	0.0000000	0.0280000	FEE	940_08			May Ling Ng			D	BS
114	BS4L0:LUSI	BREMSS COLL			755.9600844	-1.2193986	-0.8953040	0.0000000	0.0000000	0.0000000	FEE	940_08			May Ling Ng			D	BS
116	TP:WALL2HE	FEE WALL 2 SHLDG FACE			756.3600000	-1.2193986	-0.8953050	0.0000000	0.0000000	0.0000000	FEE	940_08			May Ling Ng			D	TP
117	TP:WALL2HW	HUTCH 1 WALL 1			758.2900000	-1.2193986	-0.8953050	0.0000000	0.0000000	0.0000000	FEE	940_08			May Ling Ng			D	TP
119	TP:TXI	INTERFACE (3.38 Flange)			758.3608700	-0.7581700	-0.8953050	0.0000000	0.0000000	0.0280000	FEE	940_08			May Ling Ng			D	TP
118	TP:XPP	INTERFACE (2.75 Flange)			759.0619300	-1.2193986	-0.8953050	0.0000000	0.0000000	0.0000000	FEE	940_08			May Ling Ng			D	TP
1	TV1L0:VGC:1	GATE VALVE			693.5787994	-1.2500000	-0.8953040	0.0000000	0.0000000	0.0000000	EBD	930_100			Kathy Burrows			C	TV
3	TV1L0:VRM:1	RIGHT ANGLE VALVE			694.4945007	-1.2500000	-0.8953040	0.0000000	0.0000000	0.0000000	EBD	930_100			Kathy Burrows			C	TV
4	TV1L0:GCC:1	COLD CATHODE GAUGE			694.4945007	-1.2500000	-0.8953040	0.0000000	0.0000000	0.0000000	EBD	930_100			Kathy Burrows			C	TV
5	TV1L0:GPI:1	PIRANI GAUGE			694.4945007	-1.2500000	-0.8953040	0.0000000	0.0000000	0.0000000	EBD	930_100			Kathy Burrows			C	TV
8	IM1L0:XTES:VGC:1	GATE VALVE			699.0446968	-1.2500000	-0.8953040	0.0000000	0.0000000	0.0000000	EBD	930_100			Kathy Burrows			C	IM
9	IM1L0:XTES:VRM:1	RIGHT ANGLE VALVE			699.1870988	-1.2500000	-0.8953040	0.0000000	0.0000000	0.0000000	EBD	930_100			Kathy Burrows			C	IM
13	MBXPM1:PIP:1	ION PUMP			700.1816104	-1.2500000	-0.8953040	0.0000000	0.0000000	0.0000000	EBD	930_100			Kathy Burrows			C	MB
16	TV2L0:PIP:1	ION PUMP			705.9300000	-1.2500000	-0.8953040	0.0000000	0.0000000	0.0000000	EBD	930_100			Kathy Burrows			C	TV
17	TV2L0:VRM:1	RIGHT ANGLE VALVE			707.3402080	-1.2500000	-0.8953040	0.0000000	0.0000000	0.0000000	EBD	930_100			Kathy Burrows			C	TV
18	TV2L0:GCC:1	COLD CATHODE GAUGE			707.3402080	-1.2500000	-0.8953040	0.0000000	0.0000000	0.0000000	EBD	930_100			Kathy Burrows			C	TV
19	TV2L0:GPI:1	PIRANI GAUGE			707.3402080	-1.2500000	-0.8953040	0.0000000	0.0000000	0.0000000	EBD	930_100			Kathy Burrows			C	TV
20	TV2L0:VGC:1	GATE VALVE			710.9864484	-1.2500000	-0.8953040	0.0000000	0.0000000	0.0000000	EBD	930_100			Kathy Burrows			C	TV
21	TV2L0:PIP:2	ION PUMP			711.1287232	-1.2500000	-0.8953040	0.0000000	0.0000000	0.0000000	EBD	930_100			Kathy Burrows			C	TV
22	TV2L0:VRM:2	RIGHT ANGLE VALVE			711.1287232	-1.2500000	-0.8953040	0.0000000	0.0000000	0.0000000	EBD	930_100			Kathy Burrows			C	TV
25	TV2L0:GFS:1	FAST VALVE SENSOR			711.8368498	-1.2500000	-0.8953040	0.0000000	0.0000000	0.0000000	EBD	930_100			Kathy Burrows			C	TV
26	TV2L0:GCC:2	COLD CATHODE GAUGE			711.8368498	-1.2500000	-0.8953040	0.0000000	0.0000000	0.0000000	EBD	930_100			Kathy Burrows			C	TV
27	TV2L0:GPI:2	PIRANI GAUGE			711.8368498	-1.2500000	-0.8953040	0.0000000	0.0000000	0.0000000	EBD	930_100			Kathy Burrows			C	TV
30	TV2L0:PIP:3	ION PUMP			714.2961794	-1.2500000	-0.8953040	0.0000000	0.0000000	0.0000000	EBD	930_100			Kathy Burrows			C	TV
33	TV2L0:VGC:2	GATE VALVE			722.1351282	-1.2500000	-0.8953040	0.0000000	0.0000000	0.0000000	FEE	940_08			May Ling Ng			C	TV
34	SL1L0:POWER:VRM:1	RIGHT ANGLE VALVE			722.2774038	-1.2500000	-0.8953040	0.0000000	0.0000000	0.0000000	FEE	940_08			May Ling Ng			C	SL
35	SL1L0:POWER:GCC:1	COLD CATHODE GAUGE			722.2774038	-1.2500000	-0.8953040	0.0000000	0.0000000	0.0000000	FEE	940_08			May Ling Ng			C	SL
36	SL1L0:POWER:GPI:1	PIRANI GAUGE			722.2774038	-1.2500000	-0.8953040	0.0000000	0.0000000	0.0000000	FEE	940_08			May Ling Ng			C	SL
38	SL1L0:POWER:PIP:1	ION PUMP			724.5098600	-1.2500000	-0.8953040	0.0000000	0.0000000	0.0000000	FEE	940_08			May Ling Ng			C	SL
42	AT2L0:SOLID:PIP:1	ION PUMP			734.0147010	-1.2500000	-0.8953040	0.0000000	0.0000000	0.0000000	FEE	940_08			May Ling Ng			C	AT
43	AT2L0:SOLID:VRM:1	RIGHT ANGLE VALVE			734.0147010	-1.2500000	-0.8953040	0.0000000	0.0000000	0.0000000	FEE	940_08			May Ling Ng			C	AT
44	AT2L0:SOLID:GCC:1	COLD CATHODE GAUGE			734.0147010	-1.2500000	-0.8953040	0.0000000	0.0000000	0.0000000	FEE	940_08			May Ling Ng			C	AT
45	AT2L0:SOLID:GPI:1	PIRANI GAUGE			734.0147010	-1.2500000	-0.8953040	0.0000000	0.0000000	0.0000000	FEE	940_08			May Ling Ng			C	AT
47	PC1L0:XTES:VGC:1	GATE VALVE			734.9383619	-1.2500000	-0.8953040	0.0000000	0.0000000	0.0000000	FEE	940_08			May Ling Ng			C	PC
55	PA1L0:RGA:1	RGA			737.8462065	-1.2500000	-0.8953040	0.0000000	0.0000000	0.0000000	FEE	940_08			May Ling Ng			C	PA
57	PA1L0:VFS:1	FAST SHUTTER			738.7685871	-1.2500000	-0.8953040	0.0000000	0.0000000	0.0000000	FEE	940_08			May Ling Ng			C	PA
59	PA1L0:VRM:1	RIGHT ANGLE VALVE			738.9034230	-1.2500000	-0.8953040	0.0000000	0.0000000	0.0000000	FEE	940_08			May Ling Ng			C	PA
60	PA1L0:GCC:1	COLD CATHODE GAUGE			738.9034230	-1.2500000	-0.8953040	0.0000000	0.0000000	0.0000000	FEE	940_08			May Ling Ng			C	PA
61	PA1L0:GCC:2	COLD CATHODE GAUGE			738.9034230	-1.2500000	-0.8953040	0.0000000	0.0000000	0.0000000	FEE	940_08			May Ling Ng			C	PA
62	PA1L0:GPI:1	PIRANI GAUGE			738.9034230	-1.2500000	-0.8953040	0.0000000	0.0000000	0.0000000	FEE	940_08			May Ling Ng			C	PA
63	MR1L0:HOMS:VGC:1	GATE VALVE			739.0457979	-1.2500000	-0.8953040	0.0000000	0.0000000	0.0000000	FEE	940_08			May Ling Ng			C	MR
67	MR1L1:TXI:GBC:1	BCS VAC SENSOR			741.6000000	-1.2275985	-0.8953040	0.0000000	0.0000000	0.0210000	FEE	940_08			May Ling Ng			C	MR
68	BT2L0:PLEG:VGC:1	GATE VALVE			742.4427654	-1.2219690	-0.8953040	0.0000000	0.0000000	0.0000000	FEE	940_08			May Ling Ng			C	BT
69	BT2L0:PLEG:PIP:1	ION PUMP			742.6755076	-1.2199621	-0.8953040	0.0000000	0.0000000	0.0000000	FEE	940_08			May Ling Ng			C	BT
70	BT2L0:PLEG:VRM:1	RIGHT ANGLE VALVE			742.6755076	-1.2199621	-0.8953040	0.0000000	0.0000000	0.0000000	FEE	940_08			May Ling Ng			C	BT
71	BT2L0:PLEG:GCC:1	COLD CATHODE GAUGE			742.6755076	-1.2199621	-0.8953040	0.0000000	0.0000000	0.0000000	FEE	940_08			May Ling Ng			C	BT
72	BT2L0:PLEG:GPI:1	PIRANI GAUGE			742.6755076	-1.2199621	-0.8953040	0.0000000	0.0000000	0.0000000	FEE	940_08			May Ling Ng			C	BT
75	TP:TXI:FEE	INTERFACE (2.75 Flange)			743.5341561	-1.1734280	-0.8953040	0.0000000	0.0000000	0.0280000	FEE	940_08			May Ling Ng			C	TP
76	IM3L0:PPM:PGT:1	GETTER PUMP			744.6221291	-1.2305869	-0.8953040	0.0000000	0.0000000	0.0042000	FEE	940_08			May Ling Ng			C	IM
77	IM3L0:PPM:VRM:1	ROUGH OUT VALVE			744.6221291	-1.2305869	-0.8953040	0.0000000	0.0000000	0.0042000	FEE	940_08			May Ling Ng			C	IM
78	IM1L1:PPM:PGT:1	GETTER PUMP			744.8921270	-1.1353949	-0.8953040	0.0000000	0.0000000	0.0280000	FEE	940_08			May Ling Ng			C	IM
79	IM1L1:PPM:VRM:1	ROUGH OUT VALVE			744.8921270	-1.1353949	-0.8953040	0.0000000	0.0000000	0.0280000	FEE	940_08			May Ling Ng			C	IM
87	TV1L1:VGC:1	VAT VALVE - TXI			746.5181929	-1.0898531	-0.8953040	0.0000000	0.0000000	0.0280000	FEE	940_08			May Ling Ng			C	TV
88	MR2L0:HOMS:VGC:1	VAT VALVE			746.5919143	-1.2223138	-0.8953040	0.0000000	0.0000000	0.0042000	FEE	940_08			May Ling Ng			C	MR
90	MR2L0:HOMS:GBC:1	BCS VAC SENSOR			747.2860000	-1.2193986	-0.8953040	0.0000000	0.0000000	0.0021000	FEE	940_08			May Ling Ng			C	MR
91	MR2L0:HOMS:VGC:2	GATE VALVE			748.0869988	-1.2193986	-0.8953040	0.0000000	0.0000000	0.0000000	FEE	940_08			May Ling Ng			C	MR
92	TV3L0:VFS:1	FAST SHUTTER			748.7994800	-1.2193986	-0.8953040	0.0000000	0.0000000	0.0000000	FEE	940_08			May Ling Ng			C	TV
93	TV3L0:PIP:1	ION PUMP			749.0436229	-1.2193986	-0.8953040	0.0000000	0.0000000	0.0000000	FEE	940_08			May Ling Ng			C	TV
94	PC2L1:L2SI:VGC:1	GATE VALVE			749.3178811	-1.0114414	-0.8953040	0.0000000	0.0000000	0.0280000	FEE	940_08			May Ling Ng			C	PC
95	PC2L1:L2SI:PIP:1	ION PUMP			749.4601009	-1.0074582	-0.8953040	0.0000000	0.0000000	0.0280000	FEE	940_08			May Ling Ng			C	PC
103	EM3L0:IPM:(FUT)	IPM (F)			753.3246136	-1.2193986	-0.8953040	0.0000000	0.0000000	0.0000000	FEE	940_08			May Ling Ng			C	EM
106	ST1L1:PPS:GBC:1	BCS VAC SENSOR			754.3042572	-0.8717863	-0.8953040	0.0000000	0.0000000	0.0280000	FEE	940_08			May Ling Ng			C	ST
108	ST1L0:PPS:GBC:1	BCS VAC SENSOR			755.2604160	-1.2193986	-0.8953040	0.0000000	0.0000000	0.0000000	FEE	940_08			May Ling Ng			C	ST
115	BS2L1:LUSI:VRM:1	RIGHT ANGLE VALVE			756.1925167	-0.8189012	-0.8953040	0.0000000	0.0000000	0.0280000	FEE	940_08			May Ling Ng			C	BS
